structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
structure_243,3,9,15,-1555.517765910345,-1553.1954,-1552.8433,0.19710594,0.35225424,0.19710594,0.4857147788395955,0.2612761165140054,2.6746418,2.681412,2.669811472824366,2.605129466710772
structure_302,1,2,15,-1555.4173309639336,-1553.7017,-1553.6742,0.021669604,0.027449545,0.021669598,0.24018943990101482,0.1896136652125802,1.7431477,1.7432734,2.657741718093933,2.603476420367146
structure_302,1,5,15,-1555.4173309639336,-1553.7017,-1553.6398,0.047395058,0.06200358,0.047395058,0.16429171116958358,0.12558331216509278,1.7777019,1.7782913,2.657741718093933,2.603476420367146
structure_302,1,9,15,-1555.4173309639336,-1553.7017,-1553.3878,0.1278978,0.31397298,0.1278978,0.43115054671522596,0.1756304265213429,2.0296712,2.033429,2.657741718093933,2.603476420367146
structure_302,2,2,15,-1555.4173309639336,-1553.7017,-1553.6769,0.022033365,0.02479655,0.02203336,0.219253864647265,0.19001449688911404,1.7404948,1.740625,2.657741718093933,2.603476420367146
structure_302,2,5,15,-1555.4173309639336,-1553.7017,-1553.6371,0.067021705,0.06456706,0.067021705,0.19786595900933182,0.1447434736820933,1.7802653,1.7814424,2.657741718093933,2.603476420367146
structure_302,2,9,15,-1555.4173309639336,-1553.7017,-1553.209,0.17952068,0.49271646,0.17952068,0.6766027280493858,0.24651941217022638,2.2084148,2.2152143,2.657741718093933,2.603476420367146
structure_302,3,2,15,-1555.4173309639336,-1553.7017,-1553.67,0.019291,0.031656902,0.019290954,0.2770047201941736,0.16880000957878744,1.7473551,1.7474545,2.657741718093933,2.603476420367146
structure_302,3,5,15,-1555.4173309639336,-1553.7017,-1553.6271,0.111381695,0.07451172,0.11138169,0.2625130977527905,0.23458628865354397,1.79021,1.793441,2.657741718093933,2.603476420367146
structure_302,3,9,15,-1555.4173309639336,-1553.7017,-1552.9999,0.27425268,0.7016032,0.27425268,0.9634478651139103,0.37660626292461213,2.4173014,2.4317784,2.657741718093933,2.603476420367146
structure_988,1,2,15,-1555.4137508962986,-1553.4207,-1553.3882,0.053693317,0.03276367,0.05369329,0.31504281148361457,0.44565680953683584,2.0258057,2.0264697,2.674458867129227,2.6050892072631453
structure_988,1,5,15,-1555.4137508962986,-1553.4207,-1553.3485,0.15221207,0.07220052,0.15221205,0.297686612911124,0.32313572724832246,2.0652425,2.070471,2.674458867129227,2.6050892072631453
structure_988,1,9,15,-1555.4137508962986,-1553.4207,-1552.9491,0.34781915,0.47155762,0.34781915,0.6510512353988012,0.46347777294219356,2.4645996,2.487401,2.674458867129227,2.6050892072631453
structure_988,2,2,15,-1555.4137508962986,-1553.4207,-1553.3976,0.050414976,0.02319336,0.050414976,0.24328777760122794,0.41514297953286694,2.0162354,2.0168238,2.674458867129227,2.6050892072631453
structure_988,2,5,15,-1555.4137508962986,-1553.4207,-1553.2739,0.17245531,0.14679362,0.17245531,0.40572979620351446,0.43578619641306376,2.1398356,2.1463118,2.674458867129227,2.6050892072631453
structure_988,2,9,15,-1555.4137508962986,-1553.4207,-1552.7222,0.41620192,0.6986084,0.41620192,0.9533389049519844,0.5679597740670047,2.6916504,2.7215176,2.674458867129227,2.6050892072631453
structure_988,3,2,15,-1555.4137508962986,-1553.4207,-1553.3937,0.051464833,0.026953125,0.05146483,0.28277427553650575,0.41647219657741397,2.0199952,2.020607,2.674458867129227,2.6050892072631453
structure_988,3,5,15,-1555.4137508962986,-1553.4207,-1553.2318,0.2089478,0.18900554,0.20894778,0.5431087823374922,0.5020470396311634,2.1820476,2.1913648,2.674458867129227,2.6050892072631453
