structure_id,n_atoms,strength,trials,reference_energy,base_prediction,mean_perturbed_energy,std_perturbed_energy,mean_energy_change,std_energy_change,mean_sensitivity,std_sensitivity,mae_from_reference,rmse_from_reference,avg_bond_length,min_bond_length
315.xyz,2,5,15,-1555.942373,-1553.5392,-1553.4178,0.07833395,0.12148438,0.078333944,0.32166678108870067,0.20741291384901708,2.5246825,2.5258167,2.659658435073904,2.61830714
315.xyz,2,9,15,-1555.942373,-1553.5392,-1553.046,0.23428617,0.49311525,0.23428617,0.6766623159846092,0.32149204910332185,2.8963134,2.9051442,2.659658435073904,2.61830714
315.xyz,3,2,15,-1555.942373,-1553.5392,-1553.4991,0.021370001,0.040047202,0.02137,0.35016911660111866,0.18685735244494203,2.4432454,2.4433324,2.659658435073904,2.61830714
315.xyz,3,5,15,-1555.942373,-1553.5392,-1553.3982,0.10175124,0.14112955,0.10175124,0.37368336800912694,0.26941729834292805,2.5443277,2.546226,2.659658435073904,2.61830714
315.xyz,3,9,15,-1555.942373,-1553.5392,-1552.8649,0.28631997,0.6743246,0.28631997,0.9253212556490858,0.39289383554249907,3.0775228,3.0899289,2.659658435073904,2.61830714
958.xyz,1,2,15,-1555.942367,-1553.4778,-1553.465,0.020734327,0.012630208,0.020734243,0.14814644665817428,0.14972874264890423,2.4772298,2.477311,2.6597439375732175,2.6179930096606308
958.xyz,1,5,15,-1555.942367,-1553.4778,-1553.399,0.05832696,0.078800455,0.05832693,0.20864143310406214,0.15443329454034724,2.5434,2.5440242,2.6597439375732175,2.6179930096606308
958.xyz,1,9,15,-1555.942367,-1553.4778,-1553.229,0.13188598,0.2488037,0.13188598,0.34140231614789174,0.1809706848347102,2.7134032,2.7163932,2.6597439375732175,2.6179930096606308
958.xyz,2,2,15,-1555.942367,-1553.4778,-1553.4545,0.022293294,0.02347819,0.022293255,0.22449665667941388,0.17072952372292388,2.4880779,2.488171,2.6597439375732175,2.6179930096606308
958.xyz,2,5,15,-1555.942367,-1553.4778,-1553.3687,0.083527364,0.109065756,0.08352734,0.28877542976976567,0.22115690086145431,2.5736654,2.57493,2.6597439375732175,2.6179930096606308
958.xyz,2,9,15,-1555.942367,-1553.4778,-1553.0144,0.23024337,0.46323243,0.23024337,0.6356361050525071,0.3159342618827753,2.9278321,2.9362695,2.6597439375732175,2.6179930096606308
958.xyz,3,2,15,-1555.942367,-1553.4778,-1553.4476,0.023618365,0.03010254,0.02361831,0.2728826238876553,0.19258214630492543,2.494702,2.4948065,2.6597439375732175,2.6179930096606308
958.xyz,3,5,15,-1555.942367,-1553.4778,-1553.3801,0.08930742,0.09772135,0.089307405,0.2822681786288561,0.20560848147344166,2.562321,2.563773,2.6597439375732175,2.6179930096606308
958.xyz,3,9,15,-1555.942367,-1553.4778,-1552.8713,0.29875776,0.60641277,0.29875776,0.8321046344839009,0.4099480330047858,3.0710123,3.0845459,2.6597439375732175,2.6179930096606308
959.xyz,1,2,15,-1555.942366,-1553.5055,-1553.4868,0.018581659,0.018839518,0.01858161,0.16557391277939001,0.16153248753987212,2.4557292,2.4557948,2.659835713848439,2.6184942721403535
959.xyz,1,5,15,-1555.942366,-1553.5055,-1553.3993,0.083051205,0.10603027,0.08305119,0.28072864146218285,0.21988859388436122,2.5429199,2.5441854,2.659835713848439,2.6184942721403535
959.xyz,1,9,15,-1555.942366,-1553.5055,-1553.2344,0.09910239,0.27115884,0.099102385,0.37206465401992916,0.13598115335019167,2.7080486,2.7097404,2.659835713848439,2.6184942721403535
959.xyz,2,2,15,-1555.942366,-1553.5055,-1553.4851,0.019597378,0.020361328,0.019597363,0.183575717649689,0.16495234795721422,2.457251,2.457324,2.659835713848439,2.6184942721403535
959.xyz,2,5,15,-1555.942366,-1553.5055,-1553.3826,0.082562044,0.122835286,0.082562044,0.3275059751496798,0.21490894718299872,2.559725,2.5609674,2.659835713848439,2.6184942721403535
959.xyz,2,9,15,-1555.942366,-1553.5055,-1552.9597,0.15693918,0.54577637,0.15693918,0.7488750306676636,0.21534063083347812,2.982666,2.9865172,2.659835713848439,2.6184942721403535
959.xyz,3,2,15,-1555.942366,-1553.5055,-1553.47,0.024079964,0.03552246,0.024079964,0.3105844990468575,0.21053899736685147,2.472412,2.4725215,2.659835713848439,2.6184942721403535
959.xyz,3,5,15,-1555.942366,-1553.5055,-1553.3785,0.097069405,0.12680665,0.097069405,0.335736717419889,0.2570035928000119,2.5636964,2.5654109,2.659835713848439,2.6184942721403535
959.xyz,3,9,15,-1555.942366,-1553.5055,-1552.7046,0.28091648,0.80100095,0.28091648,1.0990758613811396,0.38545337416199343,3.2378907,3.2492442,2.659835713848439,2.6184942721403535
